objectid,filename,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,object_location,image_small,image_thumb,related_publication,publisher-digital,source,rights,rightsstatement,type,language,relation
yearn044,20231027.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn045,20231020.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn046,20231015.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn047,20231007.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn048,20230928.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn049,20230925.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn050,20230922.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn051,20230918.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn052,20230917.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn053,20230913.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn054,20230830.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
yearn055,20230809.pdf,,application/pdf,,horses_and_memories,,,,,,,,,,,,,,,,,,,
